cell1_v,cell2_v,cell3_v,loadcell1,loadcell2,pack_v,rpm1,rpm2,throttle1,throttle2
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.969,3.982,-6,-9,11.908,0,0,0.0,0.0
3.957,3.97,3.981,-6,-9,11.908,0,0,0.0,0.0
